name,point
칠드런 오브 맨,74.34
동급생,73.5
성난황소,72.72
극장판 마법소녀 마도카 마기카(신편): 반역의 이야기,70.02
오페라의 유령,69.36
러브 라이브! 더 스쿨 아이돌 무비,68.24
오두막,67.92
친구 사이?,67.5
베일리 어게인,67.43
로건 럭키,66.42
살인의 추억,65.58999999999999
호텔 아르테미스,63.970000000000006
파리넬리,63.349999999999994
러브 오브 시베리아,63.139999999999986
앙: 단팥 인생 이야기,61.599999999999994
"메밀꽃, 운수 좋은 날, 그리고 봄봄",61.46
역전의 명수,61.290000000000006
러덜리스,61.04
꿈의 제인,60.55
소중한 날의 꿈,60.2
미드나잇 인 파리,59.81999999999999
티파니에서 아침을,58.730000000000004
뷰티풀 투모로우,56.17999999999999
그것,56.16999999999999
공동경비구역 JSA,55.60999999999999
맥코리아,55.36999999999999
타인의 삶,55.32
흥부,55.150000000000006
꼭두각시,54.699999999999996
제인 에어,54.25
머니백,54.24
델마와 루이스,53.52
"알로, 슈티",53.36
본 투 비 블루,52.61999999999999
인랑,52.15999999999999
돌아와요 부산항애(愛),48.97
7호실,47.74
쥬라기 월드,47.23
흑집사 : 북 오브 더 아틀란틱,46.1
극장판 쿠로코의 농구 라스트 게임,45.949999999999996
혐오스런 마츠코의 일생,45.5
하이큐!! 승자와 패자,45.15
하이큐!! 끝과 시작,44.55
비포 선셋,43.730000000000004
캡틴 판타스틱,43.59
세븐,43.2
킬러의 보디가드,41.95
청년경찰,41.65
블루 발렌타인,41.31
딥,40.8
페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,40.790000000000006
더 랍스터,39.5
잉투기,37.65
흥부 글로 세상을 바꾼 자,37.239999999999995
가위손,37.0
립반윙클의 신부,36.75
수상한 그녀,35.96
변호인,35.92
김광석,35.08
골드,34.36
패딩턴,34.28
일진,33.980000000000004
공조,33.2
몽상가들,32.6
남한산성,32.2
침묵,30.91
더 독,30.83
조선명탐정 : 사라진 놉의 딸,30.68
부라더,30.0
골든 슬럼버,29.44
저수지 게임,27.869999999999997
시네마 천국,27.869999999999997
하이 스피드! –프리! 스타팅 데이즈,27.660000000000004
샤인,27.25
극장판 소드 아트 온라인 -오디널 스케일-,26.880000000000003
5일의 마중,26.82
그날 본 꽃의 이름을 우리는 아직 모른다,26.79
노무현입니다,26.79
국가부도의 날,25.939999999999998
김씨 표류기,25.93
실버라이닝 플레이북,25.68
훌라 걸스,25.589999999999996
맘마미아!,25.32
빅 아이즈,24.630000000000003
원라인,24.509999999999998
너와 100번째 사랑,24.03
두 개의 문,20.6
비밀은 없다,19.53
죽은 시인의 사회,18.76
로미오와 줄리엣,18.54
지슬,18.53
"그 시절, 우리가 좋아했던 소녀",18.04
파도가 지나간 자리,17.98
스포트라이트,17.8
10분,17.78
비포 선라이즈,17.76
스윗 프랑세즈,17.64
스테이션 7,17.5
워크 투 리멤버,17.34
7년-그들이 없는 언론,17.04
들개,16.7
언어의 정원,16.450000000000003
후드,15.96
그레이트 뷰티,15.78
스타워즈: 깨어난 포스,15.52
뷰티 인사이드,15.48
노 게임 노 라이프 -제로-,13.9
유리정원,13.73
뜨거운 것이 좋아,13.68
번개맨,12.5
롤러코스터,12.46
몬스터,11.5
천녀유혼,9.27
원스 어폰 어 타임 인 아메리카,9.05
블랙,9.03
미녀와 야수,8.79
극장판 요괴워치: 탄생의 비밀이다냥!,8.79
앤트맨,8.6
러스트 앤 본,8.34
마야,8.33
판도라,8.32
헝거게임: 캣칭 파이어,8.3
메이즈 러너,8.27
폭스캐처,8.15
박열,8.08
마더,7.99
헝거게임 : 더 파이널,7.62
더 그레이,7.6
헝거게임:모킹제이,7.51
아메리칸 허슬,7.49
헝거게임 : 판엠의 불꽃,7.2
매혹당한 사람들,6.94
오션스 트웰브,5.78
미옥,5.07
